FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	OD-0QZN-EI5O		0-10$	15.54	11000000	0		123	1
Amazon US	W6-UOY6-Z8OH		0-10$	45.8	11000000	0		123	1
Amazon US	BL-TZ6L-MU7X		0-10$	75.29	11000000	0		123	1
Amazon US	FI-48R0-ENH1		0-10$	19.79	11000000	0		123	1
Amazon US	C2-BU4T-FQ30		0-10$	58.06	11000000	0		123	1
Amazon US	VT-3G4O-VPO2		0-10$	214.71	11000000	0		123	1
Amazon US	YF-SLIY-90SK		0-10$	112.07	11000000	0		123	1
Amazon US	UB-RFTF-GIBJ		0-10$	100.6	11000000	0		123	1
Amazon US	9Y-LYYQ-S5DK		0-10$	35.43	11000000	0		123	1
Amazon US	S5-L3HQ-TF35		0-10$	146.9	11000000	0		123	1
Amazon US	GP-IO9J-ONBU		0-10$	21.83	11000000	0		123	1
Amazon US	05-8SV7-KRXD		0-10$	25.5	11000000	0		123	1
Amazon US	UU-96ZY-XZX0		0-10$	128.98	11000000	0		123	1
Amazon US	B5-6SGZ-0TAI		0-10$	12.58	11000000	0		123	1
Amazon US	5E-TKOM-T19O		0-10$	29.37	11000000	0		123	1
Amazon US	WD-GPTC-C9O4		0-10$	16.01	11000000	0		123	1
Amazon US	WG-VKQ3-LAVF		0-10$	11.83	11000000	0		123	1
Amazon US	9Y-UYNU-UNTS		0-10$	74.28	11000000	0		123	1
Amazon US	W3-6B1B-XARS		0-10$	238.63	11000000	0		123	1
Amazon US	F1-94OM-96MG		0-10$	39.44	11000000	0		123	1
Amazon US	EL-YWMB-M0LS		0-10$	44.08	11000000	0		123	1
Amazon US	KZ-FWV5-O2Q4		0-10$	24.81	11000000	0		123	1
Amazon US	MK-S7HR-9C0Y		0-10$	9999999	11000000	0		123	0
Amazon US	MZ-A9OX-2RYY		0-10$	17.8	11000000	0		123	1
Amazon US	Q9-791Y-R3VB		0-10$	9.32	11000000	0		123	1
Amazon US	74-KCOO-VLDG		0-10$	388.63	11000000	0		123	1
Amazon US	4W-40RJ-4IMB		0-10$	49.12	11000000	0		123	1
Amazon US	W1-P15N-BS91		0-10$	24.15	11000000	0		123	1
Amazon US	ML-4BX2-I50J		0-10$	90.36	11000000	0		123	1
Amazon US	7W-ZZAU-N973		0-10$	65.92	11000000	0		123	1
Amazon US	5N-AIPZ-ZSY5		0-10$	32.69	11000000	0		123	1
Amazon US	7Z-OWAT-8JWF		0-10$	90.22	11000000	0		123	1
Amazon US	W7-23P2-BSDJ		0-10$	21.83	11000000	0		123	1
Amazon US	DR-BPXQ-93W3		0-10$	542.84	11000000	0		123	1
Amazon US	I9-2N6D-IJ0M		0-10$	57.73	11000000	0		123	1
Amazon US	H5-R1CG-CKEI		0-10$	323.65	11000000	0		123	1
Amazon US	V7-RGJ5-KV7L		0-10$	15.72	11000000	0		123	1
Amazon US	2M-EKH3-EZ51		0-10$	139.33	11000000	0		123	1
Amazon US	UZ-1RWI-IHXC		0-10$	31.61	11000000	0		123	1
Amazon US	6S-XIVS-RNB6		0-10$	30.71	11000000	0		123	1
Amazon US	88-C5PZ-H9V4		0-10$	210.81	11000000	0		123	1
Amazon US	P2-79GD-IL9R		0-10$	15.73	11000000	0		123	1
Amazon US	21-0HRA-JEWR		0-10$	12.93	11000000	0		123	1
Amazon US	AI-U137-GF6C		0-10$	32.19	11000000	0		123	1
Amazon US	DJ-P9DO-4UHQ		0-10$	46.92	11000000	0		123	1
Amazon US	UA-PYGA-T43V		0-10$	25.13	11000000	0		123	1
Amazon US	1H-M75A-DSXT		0-10$	33.02	11000000	0		123	1
Amazon US	HK-EEYO-SKRH		0-10$	64.29	11000000	0		123	1
Amazon US	FJ-O2MC-1L7W		0-10$	74.06	11000000	0		123	1
Amazon US	PM-G0UY-G7IT		0-10$	7.96	11000000	0		123	1
Amazon US	WZ-LPDR-42MB		0-10$	11.67	11000000	0		123	1
Amazon US	S0-A02F-4FNN		0-10$	54.66	11000000	0		123	1
Amazon US	0V-ZKN4-F425		0-10$	32.35	11000000	0		123	1
Amazon US	5O-MIDM-I7L8		0-10$	78.9	11000000	0		123	1
Amazon US	0M-7I7A-5LHR		0-10$	48.7	11000000	0		123	1
Amazon US	F6-UA7W-BJV5		0-10$	236.24	11000000	0		123	1
Amazon US	V6-EPMS-4XE9		0-10$	73.14	11000000	0		123	1
Amazon US	SD-CBFT-CX2Z		0-10$	12.86	11000000	0		123	1
Amazon US	1G-XKD6-SM7K		0-10$	93.34	11000000	0		123	1
Amazon US	G6-BQ27-DJAQ		0-10$	57.19	11000000	0		123	1
Amazon US	HQ-FK7R-P2IS		0-10$	33.9	11000000	0		123	1
Amazon US	QE-QPN9-T8PO		0-10$	49.2	11000000	0		123	1
Amazon US	9G-ABTV-INAM		0-10$	137.31	11000000	0		123	1
Amazon US	MC-23E7-IYBB		0-10$	9999999	11000000	0		123	0
Amazon US	3A-TPXR-AQJX		0-10$	21.32	11000000	0		123	1
Amazon US	RN-P3HF-FW6G		0-10$	12.66	11000000	0		123	1
Amazon US	GH-KBQ9-1K1Z		0-10$	41.1	11000000	0		123	1
Amazon US	D7-1JV6-ZSVN		0-10$	30.93	11000000	0		123	1
