FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	V0-DX0C-QEQU		0-10$	9999999	11000000	0		123	0
Amazon US	7A-91CZ-HPLY		0-10$	9999999	11000000	0		123	0
Amazon US	3L-2116-ES34		0-10$	39.52	11000000	0		123	0
Amazon US	U8-BHA9-QVMX		0-10$	38.21	11000000	0		123	0
Amazon US	1V-NBWG-1GSC		0-10$	65.82	11000000	0		123	0
Amazon US	SJ-9XHJ-WA1N		0-10$	78.99	11000000	0		123	0
Amazon US	SQ-SJ9I-3P1I		0-10$	78.99	11000000	0		123	0
Amazon US	NA-VOEU-4ZQ0		0-10$	30.31	11000000	0		123	0
Amazon US	A3-ZA3J-IE3Q		0-10$	30.31	11000000	0		123	0
Amazon US	VS-WRI7-11RZ		0-10$	36.89	11000000	0		123	0
Amazon US	V8-2CZ6-E8ID		0-10$	85.58	11000000	0		123	0
Amazon US	68-RCVB-HE0Y		0-10$	92.17	11000000	0		123	0
Amazon US	ZT-IZ4H-J21M		0-10$	92.17	11000000	0		123	0
Amazon US	18-NKHM-UU31		0-10$	52.64	11000000	0		123	0
Amazon US	BC-ATX1-M1EG		0-10$	52.64	11000000	0		123	0
Amazon US	FY-Z2WW-AM0B		0-10$	52.64	11000000	0		123	0
Amazon US	J9-SLFO-6ZRN		0-10$	118.52	11000000	0		123	0
Amazon US	Y2-ZPIS-C5DG		0-10$	72.4	11000000	0		123	0
Amazon US	GQ-7YUA-K281		0-10$	78.99	11000000	0		123	0
Amazon US	M6-16LW-V6MV		0-10$	65.82	11000000	0		123	0
Amazon US	T7-KCCR-FZPL		0-10$	52.64	11000000	0		123	0
Amazon US	WF-AHF5-QE2Z		0-10$	52.64	11000000	0		123	0
Amazon US	JW-7VI5-A9KJ		0-10$	52.64	11000000	0		123	0
Amazon US	XU-RO6M-480X		0-10$	85.58	11000000	0		123	0
Amazon US	6W-6173-IJHM		0-10$	85.58	11000000	0		123	0
Amazon US	P0-7HJA-GRO5		0-10$	32.88	11000000	0		123	0
Amazon US	I7-8Z5S-2QZ2		0-10$	32.88	11000000	0		123	0
Amazon US	84-CST7-1M84		0-10$	32.88	11000000	0		123	0
Amazon US	W7-5GUO-WXGF		0-10$	9999999	11000000	0		123	0
Amazon US	L1-SMXC-ZUL2		0-10$	9999999	11000000	0		123	0
Amazon US	0G-65W9-KAPB		0-10$	43.42	11000000	0		123	0
Amazon US	3C-ECDC-F1SM		0-10$	32.88	11000000	0		123	0
Amazon US	1Z-XVOG-CJFQ		0-10$	32.93	11000000	0		123	0
Amazon US	1Y-QA6G-US1Y		0-10$	9999999	11000000	0		123	0
Amazon US	49-WHR8-X11M		0-10$	9999999	11000000	0		123	0
Amazon US	R5-0EDJ-49FQ		0-10$	9999999	11000000	0		123	0
Amazon US	61-354Q-6YG2		0-10$	46.1	11000000	0		123	0
Amazon US	ML-MMJP-A205		0-10$	9999999	11000000	0		123	0
Amazon US	M5-MWL2-9L9G		0-10$	9999999	11000000	0		123	0
Amazon US	VE-S4NI-587J		0-10$	9999999	11000000	0		123	0
Amazon US	2V-RJOH-K29W		0-10$	65.87	11000000	0		123	0
Amazon US	YN-39P6-8A0C		0-10$	48.75	11000000	0		123	0
Amazon US	ER-0WK9-RDVC		0-10$	47.32	11000000	0		123	0
Amazon US	FD-L64M-TS99		0-10$	45.45	11000000	0		123	0
Amazon US	4G-W2B4-YHZI		0-10$	98.02	11000000	0		123	0
Amazon US	2J-JGOZ-4REI		0-10$	9999999	11000000	0		123	0
Amazon US	FQ-XHTA-D0N3		0-10$	461.11	11000000	0		123	0
Amazon US	JV-LFF0-7EPI		0-10$	9999999	11000000	0		123	0
Amazon US	EC-ZNA9-DLTT		0-10$	97.51	11000000	0		123	0
Amazon US	H1-S7Q3-GS5X		0-10$	9999999	11000000	0		123	0
Amazon US	PR-NGIO-8CCC		0-10$	9999999	11000000	0		123	0
Amazon US	C2-AKZB-HCE2		0-10$	103.49	11000000	0		123	0
Amazon US	BX-2R7J-77P2		0-10$	9999999	11000000	0		123	0
Amazon US	5Q-DF9H-MXXU		0-10$	1383.52	11000000	0		123	0
Amazon US	GT-07DV-YQJC		0-10$	9999999	11000000	0		123	0
Amazon US	OD-PWVZ-6XDI		0-10$	395.28	11000000	0		123	0
Amazon US	AB-SW6O-MRQS		0-10$	9999999	11000000	0		123	0
Amazon US	NG-LG5S-JG38		0-10$	658.81	11000000	0		123	0
Amazon US	HR-NK7L-SOT7		0-10$	658.81	11000000	0		123	0
Amazon US	9B-FN7G-374F		0-10$	52.69	11000000	0		123	0
Amazon US	26-BINF-392O		0-10$	52.69	11000000	0		123	0
Amazon US	XC-6964-SYEM		0-10$	105.4	11000000	0		123	0
Amazon US	J7-2CYX-HOU3		0-10$	130.45	11000000	0		123	0
Amazon US	NX-FUIQ-3123		0-10$	162.73	11000000	0		123	0
Amazon US	4O-TB6F-5ZN8		0-10$	32.93	11000000	0		123	0
Amazon US	ZD-PZNZ-R3Z3		0-10$	9999999	11000000	0		123	0
Amazon US	50-5PDQ-XMPI		0-10$	3424.56	11000000	0		123	0
Amazon US	MP-JBX6-CUVM		0-10$	3951.62	11000000	0		123	0
Amazon US	MN-LDLH-BOXR		0-10$	9999999	11000000	0		123	0
Amazon US	RJ-OMSA-N7YA		0-10$	9999999	11000000	0		123	0
Amazon US	EU-ZG9Q-WHB0		0-10$	698.34	11000000	0		123	0
Amazon US	RY-MLJ7-SN81		0-10$	9999999	11000000	0		123	0
Amazon US	FU-E6OT-CAI8		0-10$	3294.1	11000000	0		123	0
Amazon US	SQ-OJIO-YDPM		0-10$	156.8	11000000	0		123	0
Amazon US	PX-VRDR-R6PV		0-10$	130.45	11000000	0		123	0
Amazon US	PN-QT0X-744A		0-10$	1185.87	11000000	0		123	0
Amazon US	W8-2W18-9A00		0-10$	9999999	11000000	0		123	0
Amazon US	OC-MPNU-I2C6		0-10$	527.05	11000000	0		123	0
Amazon US	JE-TXO4-NOCV		0-10$	17.99	11000000	0		123	0
Amazon US	M1-98K4-VSZ2		0-10$	9999999	11000000	0		123	0
Amazon US	MO-ROPJ-1E30		0-10$	9999999	11000000	0		123	0
Amazon US	AJ-0IBH-K0XI		0-10$	65.82	11000000	0		123	0
Amazon US	WP-7KWO-0NRV		0-10$	1976.46	11000000	0		123	0
Amazon US	ZU-AAJ6-R3SF		0-10$	9999999	11000000	0		123	0
Amazon US	V9-HHF6-ZKM9		0-10$	9999999	11000000	0		123	0
Amazon US	QZ-SBI8-UTUF		0-10$	9999999	11000000	0		123	0
Amazon US	D0-P2TW-GIRP		0-10$	9999999	11000000	0		123	0
Amazon US	8W-BUIG-80Z2		0-10$	9999999	11000000	0		123	0
Amazon US	N4-I73L-PMV5		0-10$	72.46	11000000	0		123	0
Amazon US	PC-XAY3-36TV		0-10$	9999999	11000000	0		123	0
Amazon US	7S-LJ66-4ESK		0-10$	38.2	11000000	0		123	0
Amazon US	30-ONLA-XM9Z		0-10$	32.93	11000000	0		123	0
Amazon US	DK-SX5P-1E1H		0-10$	114.61	11000000	0		123	0
Amazon US	K0-QJWH-UZ25		0-10$	36.88	11000000	0		123	0
Amazon US	9Q-3C31-BFTF		0-10$	9999999	11000000	0		123	0
Amazon US	09-T71S-TS4T		0-10$	9999999	11000000	0		123	0
Amazon US	NJ-0Y2J-7ODD		0-10$	1185.87	11000000	0		123	0
Amazon US	1M-U4CZ-QBUE		0-10$	9999999	11000000	0		123	0
Amazon US	BV-0QJ3-EC1A		0-10$	2371.75	11000000	0		123	0
Amazon US	1P-Z5I6-GE34		0-10$	9999999	11000000	0		123	0
Amazon US	48-FEXQ-Z5R8		0-10$	9999999	11000000	0		123	0
Amazon US	OO-CGEZ-PF37		0-10$	1449.4	11000000	0		123	0
Amazon US	JI-OCGX-2M1Z		0-10$	1581.16	11000000	0		123	0
Amazon US	ZV-TVY1-MF8U		0-10$	9999999	11000000	0		123	0
Amazon US	0V-SGC2-IEN6		0-10$	59.29	11000000	0		123	0
Amazon US	B4-F1QB-O5JG		0-10$	988.22	11000000	0		123	0
Amazon US	SX-52V2-PWP0		0-10$	1251.75	11000000	0		123	0
Amazon US	CZ-8X4H-X4JJ		0-10$	76.42	11000000	0		123	0
Amazon US	OB-AQQF-KREJ		0-10$	9999999	11000000	0		123	0
Amazon US	C7-1O76-TUNI		0-10$	9999999	11000000	0		123	0
Amazon US	C5-1XQP-FO89		0-10$	85.63	11000000	0		123	0
Amazon US	1Z-IIYE-GUW8		0-10$	197.57	11000000	0		123	0
Amazon US	RD-QDZ7-M54M		0-10$	9999999	11000000	0		123	0
Amazon US	UE-55OA-SHJ7		0-10$	313.07	11000000	0		123	0
Amazon US	XZ-JZ4Q-NW0J		0-10$	1976.46	11000000	0		123	0
Amazon US	ZG-VHN9-2FDX		0-10$	2239.99	11000000	0		123	0
Amazon US	HZ-KHFR-U4Y7		0-10$	9999999	11000000	0		123	0
Amazon US	Z1-1F53-4FJ2		0-10$	9999999	11000000	0		123	0
Amazon US	PP-61W6-TXKO		0-10$	1581.16	11000000	0		123	0
Amazon US	MV-IQL3-THBZ		0-10$	1054.1	11000000	0		123	0
Amazon US	RO-LAPZ-OSQ2		0-10$	1449.4	11000000	0		123	0
Amazon US	MM-EM8Z-VZ2V		0-10$	9999999	11000000	0		123	0
Amazon US	HJ-NGF3-YKSE		0-10$	922.34	11000000	0		123	0
Amazon US	CF-QUJP-MDTN		0-10$	830.1	11000000	0		123	0
Amazon US	AY-GOOP-7GAQ		0-10$	790.58	11000000	0		123	0
Amazon US	2L-IM4X-OITD		0-10$	922.34	11000000	0		123	0
Amazon US	OJ-HG3R-EUKF		0-10$	9999999	11000000	0		123	0
Amazon US	FC-J0D0-TWUW		0-10$	9999999	11000000	0		123	0
Amazon US	OU-Y7TO-VR9K		0-10$	9999999	11000000	0		123	0
Amazon US	1A-UFKJ-1G31		0-10$	9999999	11000000	0		123	0
Amazon US	5G-6JMR-ABVN		0-10$	296.46	11000000	0		123	0
Amazon US	ED-792P-M1CU		0-10$	921.04	11000000	0		123	0
Amazon US	NA-QN38-H8LZ		0-10$	9999999	11000000	0		123	0
Amazon US	LG-8JHE-K7VI		0-10$	9999999	11000000	0		123	0
Amazon US	LQ-TKHH-S6AZ		0-10$	138.35	11000000	0		123	0
Amazon US	ZE-LG4J-G0EZ		0-10$	9999999	11000000	0		123	0
Amazon US	WS-MDT3-NADD		0-10$	118.58	11000000	0		123	0
Amazon US	00-NL06-KSV9		0-10$	263.52	11000000	0		123	0
Amazon US	0G-87CO-IIPR		0-10$	140.98	11000000	0		123	0
Amazon US	25-4RF3-I3KG		0-10$	9999999	11000000	0		123	0
Amazon US	5P-JK3Z-48YF		0-10$	2897.51	11000000	0		123	0
Amazon US	64-HKOX-U2WY		0-10$	9999999	11000000	0		123	0
Amazon US	6V-EH71-X24X		0-10$	9999999	11000000	0		123	0
Amazon US	8B-62UY-C2O7		0-10$	619.28	11000000	0		123	0
Amazon US	BZ-4USS-A5EN		0-10$	158.1	11000000	0		123	0
Amazon US	DQ-N7HL-H1GS		0-10$	9999999	11000000	0		123	0
Amazon US	F5-0OM3-8HQU		0-10$	9999999	11000000	0		123	0
Amazon US	I3-FJNW-EZ3B		0-10$	9999999	11000000	0		123	0
Amazon US	JR-O92V-PKJ0		0-10$	197.63	11000000	0		123	0
Amazon US	M5-40GI-P4XN		0-10$	9999999	11000000	0		123	0
Amazon US	RA-8D49-ZGQG		0-10$	658.81	11000000	0		123	0
Amazon US	T2-3YH6-RT34		0-10$	1054.1	11000000	0		123	0
Amazon US	VS-KIT6-9U06		0-10$	9999999	11000000	0		123	0
Amazon US	MC-51FA-VAK2		0-10$	117.6	11000000	0		123	0
Amazon US	FE-UHKS-AK1G		0-10$	66.37	11000000	0		123	0
Amazon US	R5-3G50-692Q		0-10$	1504.74	11000000	0		123	0
Amazon US	Q1-AC6R-92K3		0-10$	943.33	11000000	0		123	0
Amazon US	8H-QH2S-XWPC		0-10$	67.85	11000000	0		123	0
Amazon US	TA-4QSP-463N		0-10$	97.35	11000000	0		123	0
Amazon US	Z1-O5XN-7AGF		0-10$	88.7	11000000	0		123	0
Amazon US	PA-J5LJ-E14Q		0-10$	9999999	11000000	0		123	0
Amazon US	F3-FNJ2-5770		0-10$	57.96	11000000	0		123	0
Amazon US	R1-4X8E-C3WH		0-10$	65.72	11000000	0		123	0
Amazon US	8K-JG3L-LEEU		0-10$	188.09	11000000	0		123	0
Amazon US	5Q-U54J-0TBV		0-10$	9999999	11000000	0		123	0
Amazon US	JJ-JNOL-GBB4		0-10$	57.41	11000000	0		123	0
Amazon US	YW-412Q-TTHO		0-10$	37.22	11000000	0		123	0
Amazon US	K8-RO64-ZN7O		0-10$	22.76	11000000	0		123	0
Amazon US	JL-N8Y7-KB1U		0-10$	40.28	11000000	0		123	0
Amazon US	B0-6CBJ-VR2X		0-10$	87.08	11000000	0		123	0
Amazon US	AX-J35U-T0ER		0-10$	20.77	11000000	0		123	0
Amazon US	TZ-BY22-UK84		0-10$	13.39	11000000	0		123	0
Amazon US	XR-DP7F-9GJC		0-10$	10.36	11000000	0		123	0
Amazon US	2E-P2Q4-4O88		0-10$	10.34	11000000	0		123	0
Amazon US	6K-2QGY-41OC		0-10$	12.64	11000000	0		123	0
Amazon US	CW-U5OG-2RFN		0-10$	11.42	11000000	0		123	0
Amazon US	9E-KFX8-EO0N		0-10$	35.34	11000000	0		123	0
Amazon US	2Z-9KFD-WM42		0-10$	11.42	11000000	0		123	0
Amazon US	RQ-RCZB-2ZIF		0-10$	13.07	11000000	0		123	0
